TimeOn,TimeOff,StationNr,Alarmcode
2024-04-19 20:13:47,,2304512,174
2024-04-19 20:14:19,,2304513,160
2024-04-19 20:14:19,,2304513,160
2024-04-19 20:14:32,,2304513,159
2024-04-19 20:14:26,2024-04-19 20:17:44,2304514,3130
2024-04-19 20:14:27,,2304514,115
2024-04-19 20:14:39,,2304514,25
2024-04-19 20:15:10,,2304512,111
2024-04-19 20:14:56,,2304513,172
2024-04-19 20:14:56,,2304513,173
2024-04-19 20:14:56,,2304513,174
2024-04-19 20:15:10,,2304514,168
2024-04-19 20:15:22,,2304512,111
2024-04-19 20:15:33,,2304512,111
2024-04-19 20:15:21,,2304513,172
2024-04-19 20:15:21,,2304513,173
2024-04-19 20:15:21,,2304513,174
2024-04-19 20:15:31,,2304513,172
2024-04-19 20:15:31,,2304513,173
2024-04-19 20:15:31,,2304513,174
2024-04-19 20:15:47,,2304512,115
2024-04-19 20:15:44,,2304514,172
2024-04-19 20:16:08,2024-04-19 20:19:30,2304516,3130
2024-04-19 20:16:09,,2304516,115
2024-04-19 20:16:29,,2304513,168
2024-04-19 20:16:23,,2304516,25
2024-04-19 20:16:52,,2304516,168
2024-04-19 20:17:00,,2304513,174
2024-04-19 20:17:08,,2304514,111
2024-04-19 20:17:06,2024-04-19 20:20:28,2304517,3130
2024-04-19 20:17:07,,2304517,115
2024-04-19 20:17:23,,2304512,20
2024-04-19 20:17:26,,2304516,173
2024-04-19 20:17:19,,2304517,25
2024-04-19 20:17:20,,2304514,111
2024-04-19 20:17:31,,2304514,111
2024-04-19 20:17:50,,2304517,168
2024-04-19 20:17:51,,2304519,25
2024-04-19 20:17:45,,2304514,115
2024-04-19 20:18:29,,2304518,115
2024-04-19 20:18:29,2024-04-19 20:21:49,2304518,3130
2024-04-19 20:18:22,,2304517,172
2024-04-19 20:18:28,,2304513,111
2024-04-19 20:18:43,,2304518,25
2024-04-19 20:18:39,,2304513,111
2024-04-19 20:18:50,,2304513,111
2024-04-19 20:18:46,,2304519,20
2024-04-19 20:19:13,,2304518,168
2024-04-19 20:19:05,,2304513,115
2024-04-19 20:18:54,,2304516,111
2024-04-19 20:19:05,,2304516,111
2024-04-19 20:19:17,,2304516,111
2024-04-19 20:19:30,,2304516,115
2024-04-19 20:19:35,,2304514,20
2024-04-19 20:19:48,,2304518,174
2024-04-19 20:19:52,,2304517,111
2024-04-19 20:20:03,,2304517,111
2024-04-19 20:20:14,2024-04-19 20:23:28,2304520,3130
2024-04-19 20:20:14,,2304520,115
2024-04-19 20:20:29,,2304520,25
2024-04-19 20:20:15,,2304517,111
2024-04-19 20:20:28,,2304517,115
2024-04-19 20:20:47,,2304513,20
2024-04-19 20:20:58,,2304520,168
2024-04-19 20:21:13,,2304518,111
2024-04-19 20:21:29,,2304520,172
2024-04-19 20:21:16,,2304516,20
2024-04-19 20:21:24,,2304518,111
2024-04-19 20:21:35,,2304518,111
2024-04-19 20:21:49,,2304518,115
2024-04-19 20:22:18,,2304517,20
2024-04-19 20:22:52,,2304520,111
2024-04-19 20:23:03,,2304520,111
2024-04-19 20:23:14,,2304520,111
2024-04-19 20:23:28,,2304520,115
2024-04-19 20:23:38,,2304518,20
2024-04-19 20:25:10,,2304520,20
2024-04-19 20:26:02,,2304519,25
2024-04-19 20:26:48,,2304519,20
2024-04-19 20:28:30,2024-04-19 20:31:48,2304528,3130
2024-04-19 20:28:31,,2304528,115
2024-04-19 20:28:38,,2304528,25
2024-04-19 20:29:14,,2304528,168
2024-04-19 20:29:01,,2304519,25
2024-04-19 20:29:02,2024-04-19 20:32:20,2304529,3130
2024-04-19 20:29:03,,2304529,115
2024-04-19 20:29:11,,2304529,25
2024-04-19 20:29:48,,2304528,174
2024-04-19 20:29:52,,2304519,20
2024-04-19 20:29:46,,2304529,168
2024-04-19 20:30:21,,2304529,172
2024-04-19 20:30:22,2024-04-19 20:41:22,2304530,3130
2024-04-19 20:30:29,,2304530,168
2024-04-19 20:31:12,,2304528,111
2024-04-19 20:31:23,,2304528,111
2024-04-19 20:31:34,,2304528,111
2024-04-19 20:31:49,,2304528,115
2024-04-19 20:31:47,,2304519,25
2024-04-19 20:31:44,,2304529,111
2024-04-19 20:31:55,,2304529,111
2024-04-19 20:32:06,,2304529,111
2024-04-19 20:32:21,,2304529,115
2024-04-19 20:32:22,2024-04-19 20:48:58,2304529,13411
2024-04-19 20:32:34,,2304519,20
2024-04-19 20:34:26,,2304528,20
2024-04-19 20:34:49,,2304529,20
2024-04-19 20:35:20,,2304529,25
2024-04-19 20:36:15,,2304529,20
2024-04-19 20:36:40,,2304529,25
2024-04-19 20:40:46,,2304530,111
2024-04-19 20:41:13,,2304510,25
2024-04-19 20:40:57,,2304530,111
2024-04-19 20:41:08,,2304530,111
2024-04-19 20:41:58,,2304510,20
2024-04-19 20:47:54,,2304529,20
2024-04-19 20:48:18,,2304529,117
2024-04-19 20:48:18,2024-04-19 20:49:20,2304529,13902
2024-04-19 20:48:18,,2304529,25
2024-04-19 20:48:18,,2304529,115
2024-04-19 20:48:19,2024-04-19 20:48:58,2304529,13412
2024-04-19 20:48:19,2024-04-19 20:49:51,2304529,14302
2024-04-19 20:49:01,,2304519,25
2024-04-19 20:49:21,,2304529,115
2024-04-19 20:50:04,,2304519,20
2024-04-19 20:51:58,,2304510,25
2024-04-19 20:52:44,,2304510,20
2024-04-19 20:53:36,,2304529,20
2024-04-19 20:54:08,,2304510,25
2024-04-19 20:54:58,,2304510,20
2024-04-19 20:55:28,,2304510,25
2024-04-19 20:56:11,,2304510,20
2024-04-19 20:57:26,,2304527,20
2024-04-19 20:58:06,,2304510,25
2024-04-19 21:14:30,,2304510,20
2024-04-19 21:16:14,,2304510,25
2024-04-19 21:17:09,,2304510,20
2024-04-19 21:23:29,,2304510,25
2024-04-19 21:24:16,,2304510,20
2024-04-19 21:33:17,,2304511,25
2024-04-19 21:34:11,,2304511,20
2024-04-19 21:35:00,,2304511,25
2024-04-19 21:35:53,,2304511,20
2024-04-19 21:36:26,,2304511,25
2024-04-19 21:37:12,,2304524,127
2024-04-19 21:37:27,,2304511,20
2024-04-19 21:38:23,,2304511,25
2024-04-19 21:39:13,,2304511,20
2024-04-19 21:40:22,,2304510,25
2024-04-19 21:41:09,,2304510,20
2024-04-19 21:42:43,,2304510,25
2024-04-19 21:43:32,,2304510,20
2024-04-19 21:44:59,,2304511,25
2024-04-19 21:45:50,,2304511,20
2024-04-19 21:46:53,,2304511,25
2024-04-19 21:47:57,,2304511,20
2024-04-19 21:48:22,,2304511,25
2024-04-19 21:57:35,,2304511,20
2024-04-19 21:58:15,,2304511,25
2024-04-19 21:58:59,,2304511,20
2024-04-19 22:00:41,,2304511,25
2024-04-19 22:01:25,,2304511,20
2024-04-19 22:03:31,,2304511,25
2024-04-19 22:03:27,2024-04-19 22:06:39,2304523,3130
2024-04-19 22:03:28,,2304523,115
2024-04-19 22:03:38,,2304523,25
2024-04-19 22:04:11,,2304523,168
2024-04-19 22:04:27,,2304511,20
2024-04-19 22:04:50,,2304511,25
2024-04-19 22:04:41,,2304523,173
2024-04-19 22:05:47,,2304510,25
2024-04-19 22:05:44,,2304511,20
2024-04-19 22:06:03,,2304523,111
2024-04-19 22:06:14,,2304523,111
2024-04-19 22:06:25,,2304523,111
2024-04-19 22:06:43,,2304510,20
2024-04-19 22:06:47,,2304517,25
2024-04-19 22:06:40,,2304523,115
2024-04-19 22:07:46,,2304517,20
2024-04-19 22:08:21,,2304511,25
2024-04-19 22:08:38,,2304523,20
2024-04-19 22:09:21,,2304511,20
2024-04-19 22:09:43,,2304515,25
2024-04-19 22:10:36,,2304515,20
2024-04-19 22:10:25,,2304517,25
2024-04-19 22:10:47,,2304514,25
2024-04-19 22:11:10,,2304517,20
2024-04-19 22:11:07,,2304510,25
2024-04-19 22:11:33,,2304514,20
2024-04-19 22:12:11,,2304515,25
2024-04-19 22:11:58,,2304510,20
2024-04-19 22:13:01,,2304515,20
2024-04-19 22:13:26,,2304511,25
2024-04-19 22:14:02,,2304513,25
2024-04-19 22:14:37,,2304511,20
2024-04-19 22:14:54,,2304513,20
2024-04-19 22:15:02,,2304510,25
2024-04-19 22:15:29,,2304511,25
2024-04-19 22:16:18,,2304511,20
2024-04-19 22:16:48,,2304510,20
2024-04-19 22:17:11,,2304527,25
2024-04-19 22:18:58,,2304517,25
2024-04-19 22:20:53,,2304519,25
2024-04-19 22:21:53,,2304519,20
2024-04-19 22:22:02,,2304517,20
2024-04-19 22:22:55,,2304523,25
2024-04-19 22:23:29,,2304510,25
2024-04-19 22:24:25,,2304510,20
2024-04-19 22:25:09,,2304524,25
2024-04-19 22:26:07,,2304524,20
2024-04-19 22:28:05,,2304523,20
2024-04-19 22:30:34,,2304527,20
2024-04-19 22:43:17,,2304510,25
2024-04-19 22:44:12,,2304510,20
2024-04-19 23:09:45,,2304510,25
2024-04-19 23:13:12,,2304522,127
2024-04-19 23:15:21,,2304527,25
2024-04-19 23:15:30,,2304511,25
2024-04-19 23:17:37,,2304519,25
2024-04-19 23:18:34,,2304519,20
2024-04-19 23:19:16,,2304519,25
2024-04-19 23:19:54,,2304521,25
2024-04-19 23:20:17,,2304512,25
2024-04-19 23:20:21,,2304519,20
2024-04-19 23:20:44,,2304521,20
2024-04-19 23:20:49,,2304519,25
2024-04-19 23:21:25,,2304513,25
2024-04-19 23:21:51,,2304519,20
2024-04-19 23:22:23,,2304514,25
2024-04-19 23:23:21,,2304514,20
2024-04-19 23:23:47,,2304514,25
2024-04-19 23:24:24,,2304521,25
2024-04-19 23:24:41,,2304517,25
2024-04-19 23:25:11,,2304521,20
2024-04-19 23:25:42,,2304521,25
2024-04-19 23:26:30,,2304515,25
2024-04-19 23:26:35,,2304521,20
2024-04-19 23:26:50,,2304518,25
2024-04-19 23:27:12,,2304523,25
2024-04-19 23:27:34,,2304515,20
2024-04-19 23:27:23,,2304519,25
